symbol,h,r2,lo,hi,beta,t,p,pred_move,half_spread,n_test,significant,tradeable
AMZN,20,-0.0006215471839741138,-0.003684179513794489,0.0014045484813689027,2.3957251647840137e-05,-0.9782065058840663,0.32797219938911504,0.07453100987643069,0.29399000000000003,1315,False,False
CSCO,1,0.00011708195645465658,-8.889816045571374e-05,0.0003618763154357327,-4.598742207751876e-09,-0.9899949832110456,0.3221765711373772,9.249680139561736e-05,0.00529,2296,False,False
CSCO,2,0.00017070282166997686,-0.00013900652261201739,0.0005055268811882034,-9.025580882192173e-09,-1.0464547127024195,0.2953511434353975,0.00018137085294382815,0.00529,2293,False,False
CSCO,3,6.28095726584732e-06,-0.00046444672488521466,0.00045023396239836074,-1.5397371721100656e-08,-0.1882947122904302,0.8506456302014611,0.00030931626076801896,0.00529,2290,False,False
CSCO,5,-0.0002634184052501265,-0.0008445059581724479,0.00036138701450829367,2.152855553994033e-08,-0.792273890803147,0.4282009921034114,0.0004321663767643162,0.00529,2284,False,False
CSCO,10,3.836837353388134e-06,-1.5483345908029468e-05,2.531312397865969e-05,-1.47944263572986e-09,-0.3171618822902217,0.7511207714349817,2.928467930869115e-05,0.00529,2269,False,False
CSCO,20,-0.0006045093131195056,-0.0014549146350193276,5.927379607599224e-05,7.14638265055564e-08,-1.070898953700762,0.2842148663866964,0.0013960172652554418,0.005295,2239,False,False
GOOGL,1,0.001811564928157039,-0.0011962702638093625,0.00444535202360235,1.0213397370628492e-05,2.4234023099570994,0.015375888110844107,0.030241869614430962,0.26766,3062,False,False
GOOGL,2,0.0022544640376318537,-0.0015024322531633882,0.005606644764449783,1.4729971724389184e-05,2.711476702512153,0.0066984248080722035,0.043556526389018836,0.26773,3059,True,False
GOOGL,3,0.0019617918690775227,-0.002695831015527783,0.00720006407777643,2.0363565609477926e-05,2.566853749529949,0.010262588666409785,0.060245608855640446,0.2678475,3056,True,False
GOOGL,5,0.0005448825537278656,-0.005819666080831337,0.007252445877648369,2.8581261819240187e-05,1.8763341129871611,0.060609415621551255,0.08462911624677019,0.26825750000000004,3050,False,False
GOOGL,10,0.0008598589651357402,-0.0021855585581192992,0.004070092415163106,1.755620135196922e-05,1.844951841438978,0.0650445444198175,0.05198391220318086,0.26865500000000003,3035,False,False
GOOGL,20,0.0011399732419697939,-0.009432830591360086,0.012705180302368422,6.173429333702618e-05,2.3891912160452775,0.016885511404630616,0.18291871115760858,0.269425,3005,False,False
INTC,1,-0.0008030658409241553,-0.0016818174937967055,0.00019337202782251058,-3.650789383698703e-08,1.1048544520929484,0.2692226614390855,0.0005056708375361075,0.005395,3249,False,False
INTC,2,-0.0001913310046948169,-0.0004662959918041998,7.984112229832416e-05,-1.7145798048542626e-08,0.9481003818076782,0.34307835391639324,0.00023624337841184458,0.005395,3246,False,False
INTC,3,-0.00032488177650713546,-0.0008037956253625689,0.00015781722715510748,-3.206915789124142e-08,0.9940331441553402,0.32020673164831287,0.0004412138880992778,0.005395,3243,False,False
INTC,5,-0.00035881255892267205,-0.0009593942767587682,0.00019803443355386467,-4.820984910136789e-08,0.8958392705279572,0.3703386126912052,0.0006601953155639522,0.005395,3237,False,False
INTC,10,-0.00021921068067087823,-0.0005691169978424782,0.000149494422778687,-4.451800997088139e-08,0.9455839370799167,0.34436084028040725,0.000605854501295719,0.0054,3222,False,False
INTC,20,-0.0002739936207107885,-0.0007919600328022969,0.0003445271851927942,-9.885468547895518e-08,0.6478382243628852,0.5170895896097245,0.0013391349968406663,0.0054,3192,False,False
MSFT,1,0.00046500711787822446,-1.6831579592385664e-05,0.0009193533239916173,7.637825759992713e-08,2.173824456792242,0.02971832108232354,0.0005775341948418491,0.007165,4194,False,False
MSFT,2,7.491449175900389e-05,-2.0907957762983375e-05,0.0001580785577109167,1.732878075957885e-08,2.0126480223634537,0.04415167111899678,0.00013097092498089695,0.00716,4191,False,False
MSFT,3,7.51079365260976e-05,7.0896987270890894e-06,0.00013396433620738998,1.566662690183796e-08,2.729534295770335,0.00634238516460156,0.0001182767664581159,0.00716,4188,True,False
MSFT,5,0.00015884210132066645,-8.329304057080876e-05,0.00036819074385630854,8.234730820555411e-08,1.5507778685389964,0.12095492607885262,0.000620066996057002,0.00716,4182,False,False
MSFT,10,2.3062237302751143e-05,-0.00020574567552525958,0.0002784877962689391,-9.935979747988463e-08,-0.32983669844350644,0.741523356319985,0.0007418401199443147,0.007165,4167,False,False
MSFT,20,-0.00010314974671210564,-0.0003503629228879756,0.00011269640118553575,1.201200985229642e-07,-1.067069704257436,0.28594036110561744,0.0008938136531093767,0.00718499999999995,4137,False,False
QQQ,1,6.201408939543462e-05,-0.00016820961707104677,0.0002827728764160375,1.1568305136944317e-08,0.7421473096066469,0.4579980885273792,0.0002834281031771906,0.006155,8278,False,False
QQQ,2,-6.252709572107662e-06,-6.035323935130177e-05,4.772093191741655e-05,3.7217795394026238e-09,-0.14545245304515922,0.8843536534111258,9.109055422687924e-05,0.006155,8275,False,False
QQQ,3,-2.0527937473868718e-05,-8.427099396585703e-05,5.056634823295545e-05,5.291423859342407e-09,-0.5179463068091065,0.6044957320672952,0.00012937319679137812,0.006155,8272,False,False
